question,url_m,link,url_b
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_08.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_08.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_08.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_09.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_09.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_09.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_10.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_10.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_10.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_01.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_01.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_01.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_02.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_02.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_02.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_03.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_03.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_03.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_04.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_04.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_04.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_05.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_05.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_05.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_06.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_06.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_06.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_07.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_07.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_07.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_08.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_08.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_08.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_09.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_09.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_09.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_10.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_10.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_05_10.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_01.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_01.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_01.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_02.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_02.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_02.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_03.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_03.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_03.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_04.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_04.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_04.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_05.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_05.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_05.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_06.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_06.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_06.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_07.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_07.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_07.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_08.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_08.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_08.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_09.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_09.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_09.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_10.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_10.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_06_10.png
